rank,bookId,title,series,numberOfSeries,author,authorLastFirst,description,language,genres,characters,setting,coverImg,bookFormat,edition,pages,publisher,publishedYear,firstPublishYear,awards,rating,numRatings,ISBN,ISBN13
89,18189606,Since You've Been Gone,,,Morgan Matson,"Matson, Morgan","It was Sloane who yanked Emily out of her shell and made life 100% interesting. But right before what should have been the most epic summer, Sloane just…disappears. All she leaves behind is a to-do list.On it, thirteen Sloane-inspired tasks that Emily would normally never try. But what if they could bring her best friend back?Apple picking at night? Okay, easy enough.Dance until dawn? Sure. Why not?Kiss a stranger? Um... Emily now has this unexpected summer, and the help of Frank Porter (totally unexpected), to check things off Sloane's list. Who knows what she'll find?Go skinny-dipping? Wait...what?",English,"Contemporary, Young Adult, Romance, Fiction, Young Adult Contemporary, Realistic Fiction, Chick Lit, Audiobook, Mystery, Coming Of Age","Emily Hughes, Frank Porter","Stanwich, Connecticut (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377702326l/18189606.jpg,Hardcover,,449,Simon & Schuster,2014,2014,"The Inky Awards Nominee for Silver Inky (2015), Goodreads Choice Award Nominee for Young Adult Fiction (2014)",4.12,95635,1442435003,9781442435001
90,13831,Alanna: The First Adventure,Song of the Lioness ,#1,Tamora Pierce,"Pierce, Tamora","From now on I'm Alan of Trebond, the younger twin. I'll be a knight.And so young Alanna of Trebond begins the journey to knighthood. Though a girl, Alanna has always craved the adventure and daring allowed only for boys; her twin brother, Thom, yearns to learn the art of magic. So one day they decide to switch places: Thom heads for the convent to learn magic; Alanna, pretending to be a boy, is on her way to the castle of King Roald to begin her training as a page.  But the road to knighthood is not an easy one. As Alanna masters the skills necessary for battle, she must also learn to control her heart and to discern her enemies from her allies.Filled with swords and sorcery, adventure and intrigue, good and evil, Alanna's first adventure begins - one that will lead to the fulfillment of her dreams and the magical destiny that will make her a legend in her land.",English,"Fantasy, Young Adult, Fiction, Magic, Adventure, Young Adult Fantasy, High Fantasy, Middle Grade, Childrens, Teen","Alanna of Trebond, Thom of Trebond, Coram Smythesson, George Cooper, Jonathan of Conte, Raoul of Goldenlake, Gareth of Naxen the Second (Gary), Alex of Tirrigan, Duke Roger of Conte",Tortall,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388206270l/13831.jpg,Mass Market Paperback,,274,Simon Pulse,2005,1983,"Preis der Leseratten des ZDF, ""NSK Neustadt Prize for Childrens Literature Nominee (2013)"", Margaret A. Edwards Award (2013)",4.24,116168,0689878559,9780689878558
91,6342491,The Demon King,Seven Realms ,#1,Cinda Williams Chima,"Chima, Cinda Williams","Times are hard in the mountain city of Fellsmarch. Reformed thief Han Alister will do almost anything to eke out a living for his family. The only thing of value he has is something he can't sell—the thick silver cuffs he's worn since birth. They're clearly magicked—as he grows, they grow, and he's never been able to get them off.One day, Han and his clan friend, Dancer, confront three young wizards setting fire to the sacred mountain of Hanalea. Han takes an amulet from Micah Bayar, son of the High Wizard, to keep him from using it against them. Soon Han learns that the amulet has an evil history—it once belonged to the Demon King, the wizard who nearly destroyed the world a millennium ago. With a magical piece that powerful at stake, Han knows that the Bayars will stop at nothing to get it back.Meanwhile, Raisa ana'Marianna, princess heir of the Fells, has her own battles to fight. She's just returned to court after three years of freedom in the mountains—riding, hunting, and working the famous clan markets. Raisa wants to be more than an ornament in a glittering cage. She aspires to be like Hanalea—the legendary warrior queen who killed the Demon King and saved the world. But her mother has other plans for her...The Seven Realms tremble when the lives of Hans and Raisa collide, fanning the flames of the smoldering war between clans and wizards.",English,"Fantasy, Young Adult, Magic, High Fantasy, Young Adult Fantasy, Romance, Fiction, Adventure, Epic Fantasy, Teen","Fire Dancer, Han Alister, Princess Raisa anaMarianna, Micah Bayar, Amon Byrne, Cat Tyburn",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379482652l/6342491.jpg,Hardcover,,506,Hyperion Books,2009,2009,,4.14,67965,1423118235,9781423118237
92,12900174,The Vincent Boys,The Vincent Boys ,#1,Abbi Glines,"Glines, Abbi","Ashton is getting tired of being good, of impressing her parents and playing ideal girlfriend to Sawyer Vincent. Sawyer is perfect, a regular Prince Charming, but when he leaves town for the summer, it's his cousin Beau who catches Ashton's eye. Beau is the sexiest guy she's ever seen, and even though he's dangerous, Ashton is drawn to him.Beau loves his cousin like a brother, so the last thing he wants to do is make a move on Sawyer's girl. Ashton is off-limits, absolutely. That's why he does his best to keep his distance, even though he's been in love with her forever. When Ashton wants to rekindle their childhood friendship in Sawyer's absence, Beau knows he should say no.Ashton and Beau don't want to hurt Sawyer. But the more they try to stay away from each other, the more intense their urges become. It's getting way too hard to resist....",English,"Romance, Young Adult, New Adult, Contemporary, Contemporary Romance, Chick Lit, High School, Young Adult Romance, Realistic Fiction, Young Adult Contemporary","Ashton Gray, Beau Vincent, Sawyer Vincent","Grove, Alabama (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327184585l/12900174.jpg,Kindle Edition,,260,,2011,2011,,3.97,71276,,
93,6316171,Hate List,Hate List,,Jennifer Brown,"Brown, Jennifer","Five months ago, Valerie Leftman's boyfriend, Nick, opened fire on their school cafeteria. Shot trying to stop him, Valerie inadvertently saved the life of a classmate, but was implicated in the shootings because of the list she helped create. A list of people and things she and Nick hated. The list he used to pick his targets.Now, after a summer of seclusion, Val is forced to confront her guilt as she returns to school to complete her senior year. Haunted by the memory of the boyfriend she still loves and navigating rocky relationships with her family, former friends and the girl whose life she saved, Val must come to grips with the tragedy that took place and her role in it, in order to make amends and move on with her life.",English,"Young Adult, Contemporary, Fiction, Realistic Fiction, Teen, High School, Drama, Mental Health, Death, Young Adult Contemporary","Valerie Leftman, Nick Levil, Jessica Campbell",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479653095l/6316171._SY475_.jpg,Hardcover,,405,"Little, Brown Books for Young Readers",2009,2009,"Milwaukee County Teen Book Award Nominee (2011), Michigan Library Association Thumbs Up! Award (2010), Lincoln Award Nominee (2014), Missouri Gateway Readers Award (2012), Oklahoma Sequoyah Award for High School (2012)",4.01,54703,0316041440,9780316041447
94,7896345,The Gathering,Darkness Rising ,#1,Kelley Armstrong,"Armstrong, Kelley","Sixteen-year-old Maya is just an ordinary teen in an ordinary town. Sure, she doesn't know much about her background - the only thing she really has to cling to is an odd paw-print birthmark on her hip - but she never really put much thought into who her parents were or how she ended up with her adopted parents in this tiny medical-research community on Vancouver Island.Until now.Strange things have been happening in this claustrophobic town - from the mountain lions that have been approaching Maya to her best friend's hidden talent for ""feeling"" out people and situations, to the sexy new bad boy who makes Maya feel...different. Combine that with a few unexplained deaths and a mystery involving Maya's biological parents and it's easy to suspect that this town might have more than its share of skeletons in its closet.",English,"Young Adult, Paranormal, Fantasy, Urban Fantasy, Romance, Supernatural, Fiction, Shapeshifters, Paranormal Romance, Werewolves","Maya Delaney, Daniel Bianchi, Serena, Rafael ""Rafe"" Martinez, Nicole Tillson, Sam Russo, Corey Carling, Hayley Morris, Annie Martinez","Vancouver Island, British Columbia (Canada)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1277820938l/7896345.jpg,Hardcover,First Edition,359,Harper,2011,2012,"Canadian Library Association Young Adult Book Award Nominee (2012), White Pine Award for Fiction (2012)",4.02,58927,0061797022,9780061797026
95,20560137,An Ember in the Ashes,An Ember in the Ashes ,#1,Sabaa Tahir,"Tahir, Sabaa","Alternative Cover Edition #1
Laia is a slave. Elias is a soldier. Neither is free.   Under the Martial Empire, defiance is met with death. Those who do not vow their blood and bodies to the Emperor risk the execution of their loved ones and the destruction of all they hold dear.   It is in this brutal world, inspired by ancient Rome, that Laia lives with her grandparents and older brother. The family ekes out an existence in the Empire's impoverished backstreets. They do not challenge the Empire. They've seen what happens to those who do.   But when Laia's brother is arrested for treason, Laia is forced to make a decision. In exchange for help from rebels who promise to rescue her brother, she will risk her life to spy for them from within the Empire's greatest military academy.   There, Laia meets Elias, the school's finest soldier—and secretly, its most unwilling. Elias wants only to be free of the tyranny he's being trained to enforce. He and Laia will soon realize that their destinies are intertwined—and that their choices will change the fate of the Empire itself.From the Hardcover edition.",English,"Fantasy, Young Adult, Romance, Fiction, Dystopia, Young Adult Fantasy, High Fantasy, Audiobook, Magic, Adventure","Laia, Elias Veturius, Helene Aquilla, Marcus Farrar, Keris Veturia",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519425615l/27774758._SY475_.jpg,Paperback,,446,Razorbill,2015,2015,"""Pennsylvania Young Readers Choice Award Nominee for Young Adults (2017)"", Rhode Island Teen Book Award Nominee (2017), Evergreen Teen Book Award Nominee (2018), Milwaukee County Teen Book Award Nominee (2016), Dioraphte Jongerenliteratuurprijs Nominee for Vertaald boek (2016), Lincoln Award Nominee (2018), David Gemmell Morningstar Award Nominee for Best Fantasy Newcomer (2016), Goodreads Choice Award Nominee for Debut Goodreads Author, and for Young Adult Fantasy & Science Fiction (2015), The Magnolia Award Nominee for 9-12 (2018), Prix Elbakin.net for Meilleur roman fantasy traduit Jeunesse (2016), Missouri Gateway Readers Award Nominee (2017), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2015)",4.27,182037,1595148035,9781595148032
96,13376,The House of the Scorpion,Matteo Alacran ,#1,Nancy Farmer,"Farmer, Nancy","With undertones of vampires, Frankenstein, dragons' hoards, and killing fields, Matt's story turns out to be an inspiring tale of friendship, survival, hope, and transcendence. A must-read for teenage fantasy fans.At his coming-of-age party, Matteo Alacrán asks El Patrón's bodyguard, ""How old am I?...I know I don't have a birthday like humans, but I was born."" ""You were harvested,"" Tam Lin reminds him. ""You were grown in that poor cow for nine months and then you were cut out of her."" To most people around him, Matt is not a boy, but a beast. A room full of chicken litter with roaches for friends and old chicken bones for toys is considered good enough for him. But for El Patrón, lord of a country called Opium—a strip of poppy fields lying between the U.S. and what was once called Mexico—Matt is a guarantee of eternal life. El Patrón loves Matt as he loves himself for Matt is himself. They share identical DNA.",English,"Young Adult, Science Fiction, Dystopia, Fiction, Fantasy, Teen, Adventure, School, Middle Grade, Childrens","El Patron, Tam Lin, Maria Mendoza, Chacho, Fidelito, Ton-Ton",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401734230l/13376.jpg,Paperback,,380,Atheneum Books for Young Readers,2004,2002,"Newbery Medal Nominee (2003), ""National Book Award for Young Peoples Literature (2002)"", ""Mythopoeic Fantasy Award Nominee for Childrens Literature (2003)"", Buxtehuder Bulle (2003), Michael L. Printz Award Nominee (2003), South Carolina Book Award for Junior Book Award (2006), Grand Canyon Reader Award for Teen Book (2005), Rhode Island Teen Book Award (2004), ""Dorothy Canfield Fisher Childrens Book Award Nominee (2004)"", ""Pacific Northwest Library Association Young Readers Choice Award for Senior (2005)"", Michigan Library Association Thumbs Up! Award Nominee (2003), Lincoln Award Nominee (2008), Missouri Gateway Readers Award Nominee (2005), Oklahoma Sequoyah Award for YA (2005)",4.09,78599,0689852231,9780689852237
97,9284655,Tiger's Curse,The Tiger's Curse Series ,#1,Colleen Houck,"Houck, Colleen","Passion. Fate. Loyalty.Would you risk it all to change your destiny? The last thing Kelsey Hayes thought she'd be doing this summer was trying to break a 300-year-old Indian curse. With a mysterious white tiger named Ren. Halfway around the world. But that's exactly what happened. Face-to-face with dark forces, spellbinding magic, and mystical worlds where nothing is what it seems, Kelsey risks everything to piece together an ancient prophecy that could break the curse forever. Tiger's Curse is the exciting first volume in an epic fantasy-romance that will leave you breathless and yearning for more.",English,"Fantasy, Young Adult, Romance, Paranormal, Mythology, Magic, Adventure, Fiction, Urban Fantasy, Young Adult Fantasy","Kishan, Kelsey Hayes, Dhiren",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327878915l/9284655.jpg,Hardcover,,403,Sterling,2011,2011,"""Romantic Times Reviewers Choice Award (RT Award) Nominee for Best Young Adult Protagonist Novel (2011)"", Soaring Eagle Book Award (2013), Next Generation Indie Book Awards Nominee for Young Adult Fiction (2010)",4.06,57564,1402784031,9781402784033
98,11096647,Flat-Out Love,Flat-Out Love ,#1,Jessica Park,"Park, Jessica","Flat-Out Love is a warm and witty novel of family love and dysfunction, deep heartache and raw vulnerability, with a bit of mystery and one whopping, knock-you-to-your-knees romance.It's not what you know - or when you see - that matters. It's about a journey.Something is seriously off in the Watkins home. And Julie Seagle, college freshman, small-town Ohio transplant, and the newest resident of this Boston house, is determined to get to the bottom of it. When Julie's off-campus housing falls through, her mother's old college roommate, Erin Watkins, invites her to move in. The parents, Erin and Roger, are welcoming, but emotionally distant and academically driven to eccentric extremes. The middle child, Matt, is an MIT tech geek with a sweet side ... and the social skills of a spool of USB cable. The youngest, Celeste, is a frighteningly bright but freakishly fastidious 13-year-old who hauls around a life-sized cardboard cutout of her oldest brother almost everywhere she goes.And there's that oldest brother, Finn: funny, gorgeous, smart, sensitive, almost emotionally available. Geographically? Definitely unavailable. That's because Finn is traveling the world and surfacing only for random Facebook chats, e-mails, and status updates. Before long, through late-night exchanges of disembodied text, he begins to stir something tender and silly and maybe even a little bit sexy in Julie's suddenly lonesome soul.To Julie, the emotionally scrambled members of the Watkins family add up to something that ... well ... doesn't quite add up. Not until she forces a buried secret to the surface, eliciting a dramatic confrontation that threatens to tear the fragile Watkins family apart, does she get her answer.Flat-Out Love comes complete with emails, Facebook status updates, and instant messages.",English,"Romance, Young Adult, New Adult, Contemporary, Chick Lit, Fiction, Contemporary Romance, College, Humor, Realistic Fiction","Julie Seagle, Matthew Watkins, Flat Finn, Celeste Watkins, Erin Watkins, Roger Watkins","Ohio (United States), Boston, Massachusetts (United States)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465596699l/15994590.jpg,Kindle Edition,,355,Skyscape,2011,2011,Goodreads Choice Award Nominee for Young Adult Fiction (2011),4,56605,,
99,11366397,The Program,The Program ,#1,Suzanne Young,"Young, Suzanne","In Sloane's world, true feelings are forbidden, teen suicide is an epidemic, and the only solution is The Program.Sloane knows better than to cry in front of anyone. With suicide now an international epidemic, one outburst could land her in The Program, the only proven course of treatment. Sloane's parents have already lost one child; Sloane knows they'll do anything to keep her alive. She also knows that everyone who's been through The Program returns as a blank slate. Because their depression is gone—but so are their memories.Under constant surveillance at home and at school, Sloane puts on a brave face and keeps her feelings buried as deep as she can. The only person Sloane can be herself with is James. He's promised to keep them both safe and out of treatment, and Sloane knows their love is strong enough to withstand anything. But despite the promises they made to each other, it's getting harder to hide the truth. They are both growing weaker. Depression is setting in. And The Program is coming for them.",English,"Young Adult, Dystopia, Romance, Science Fiction, Fiction, Mental Health, Fantasy, Mental Illness, Teen, Audiobook","Sloan Barstow, James Murphy",Oregon (United States),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344986164l/11366397.jpg,Hardcover,,405,Simon Pulse,2013,2013,Missouri Gateway Readers Award Nominee (2016),4.05,43859,1442445807,9781442445802
100,12432220,The False Prince,The Ascendance Series ,#1,Jennifer A. Nielsen,"Nielsen, Jennifer A.","In a discontent kingdom, civil war is brewing. To unify the divided people, Conner, a nobleman of the court, devises a cunning plan to find an impersonator of the king's long-lost son and install him as a puppet prince. Four orphans are recruited to compete for the role, including a defiant boy named Sage. Sage knows that Conner's motives are more than questionable, yet his life balances on a sword's point—he must be chosen to play the prince or he will certainly be killed. But Sage's rivals have their own agendas as well.As Sage moves from a rundown orphanage to Conner's sumptuous palace, layer upon layer of treachery and deceit unfold, until finally, a truth is revealed that, in the end, may very well prove more dangerous than all of the lies taken together.",English,"Fantasy, Young Adult, Middle Grade, Adventure, Fiction, Young Adult Fantasy, Mystery, Audiobook, Historical Fiction, Childrens",,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585683740l/12432220._SX318_.jpg,Hardcover,,342,"Scholastic, Inc.",2012,2012,"Utah Book Award for Young Adult Literature (2014), ""Pennsylvania Young Readers Choice Award Nominee for Grades 6-8 (2014)"", Rhode Island Teen Book Award Nominee (2014), ""Dorothy Canfield Fisher Childrens Book Award Nominee (2014)"", California Young Readers Medal for Middle School/Junior High (2015), ""Louisiana Young Readers Choice for Grades 6-8 (2015)"", ""Goodreads Choice Award Nominee for Middle Grade & Childrens (2012)"", Oklahoma Sequoyah Award for Intermediate (2015), ""Rebecca Caudill Young Readers Book Award Nominee (2015)""",4.19,75559,0545284139,9780545284134
